,AgentNumber,PolicyNo,CUT_OFF,Applied Premium Date,Issued Date,Premium Collected,Receive Policy date,Freelook,FYC,RYC,Final_FYC,Final_RYC,Total_Commision,FYC/RYC,Status,Final_Result,KyTinhToan,KyKhoaSo,KyThanhToan
1654,60013167,80025924,20240115,2024-01-11,2018-06-29,4000000.0,2018-07-08,2018.0,0.0,40000.0,0.0,40000.0,40000.0,RYC,5,5,20240115,20240115,20240115
1655,60013167,80044093,20240115,2024-01-11,2019-05-27,2000000.0,2019-06-03,1688.0,0.0,80000.0,0.0,80000.0,80000.0,RYC,5,5,20240115,20240115,20240115
1656,60013171,80033869,20240126,2024-01-18,2018-11-30,4978000.0,2018-12-18,1866.0,0.0,50000.0,0.0,50000.0,50000.0,RYC,5,5,20240126,20240126,20240126
1657,60013188,80021178,20240126,2024-01-19,2018-03-20,3000000.0,2018-03-27,2132.0,0.0,30000.0,0.0,30000.0,30000.0,RYC,5,5,20240126,20240126,20240126
1658,60013222,80035704,20240126,2024-01-17,2018-12-25,12078000.0,2019-01-03,1850.0,0.0,121000.0,0.0,121000.0,121000.0,RYC,5,5,20240126,20240126,20240126
1659,60013338,80033796,20240126,2024-01-19,2018-11-27,3592000.0,2018-12-03,1881.0,0.0,38000.0,0.0,38000.0,38000.0,RYC,5,5,20240126,20240126,20240126
1661,60013338,80085911,20240115,2024-01-05,2021-06-30,3113000.0,2021-07-05,925.0,0.0,241000.0,0.0,241000.0,241000.0,RYC,5,5,20240115,20240115,20240115
1665,60013398,80011327,20240115,2024-01-11,2017-04-24,3421000.0,2017-05-03,2449.0,0.0,34000.0,0.0,34000.0,34000.0,RYC,5,5,20240115,20240115,20240115
1666,60013398,80017550,20240115,2024-01-08,2017-11-26,11071000.0,2017-11-30,2238.0,0.0,121000.0,0.0,121000.0,121000.0,RYC,5,5,20240115,20240115,20240115
1670,60013398,80017550,20240115,2024-01-09,2017-11-26,3741000.0,2017-11-30,2238.0,0.0,37000.0,0.0,37000.0,37000.0,RYC,5,5,20240115,20240115,20240115
1674,60013398,80018738,20240115,2024-01-04,2017-12-25,1050000.0,2017-12-29,2209.0,0.0,11000.0,0.0,11000.0,11000.0,RYC,5,5,20240115,20240115,20240115
1675,60013433,80014599,20240126,2024-01-22,2017-08-24,5001000.0,2017-09-09,2331.0,0.0,50000.0,0.0,50000.0,50000.0,RYC,5,5,20240126,20240126,20240126
1676,60013438,80025551,20240126,2024-01-16,2018-06-28,500000.0,2018-07-10,2027.0,0.0,5000.0,0.0,5000.0,5000.0,RYC,5,5,20240126,20240126,20240126
1677,60013447,80034877,20240115,2024-01-02,2018-12-18,11392000.0,2018-12-26,1847.0,0.0,118000.0,0.0,118000.0,118000.0,RYC,5,5,20240115,20240115,20240115
1680,60013447,80034877,20240115,2024-01-03,2018-12-18,608000.0,2018-12-26,1847.0,0.0,6000.0,0.0,6000.0,6000.0,RYC,5,5,20240115,20240115,20240115
1683,60013447,80034907,20240115,2024-01-03,2018-12-18,5138000.0,2018-12-28,1845.0,0.0,54000.0,0.0,54000.0,54000.0,RYC,5,5,20240115,20240115,20240115
1686,60013447,80034907,20240115,2024-01-04,2018-12-18,862000.0,2018-12-28,1845.0,0.0,9000.0,0.0,9000.0,9000.0,RYC,5,5,20240115,20240115,20240115
1689,60013447,80034923,20240115,2024-01-03,2018-12-18,5354000.0,2018-12-28,1845.0,0.0,63000.0,0.0,63000.0,63000.0,RYC,5,5,20240115,20240115,20240115
1693,60013447,80034923,20240115,2024-01-04,2018-12-18,646000.0,2018-12-28,1845.0,0.0,6000.0,0.0,6000.0,6000.0,RYC,5,5,20240115,20240115,20240115
