,Servicing Agent,FYP_Final,FYC,%FYC_Bonus,Quarterly Bonus
2467,60047115,0.0,0.0,0.0,0.0
2468,60047130,467200.0,0.0,0.0,0.0
2469,60047167,0.0,0.0,0.0,0.0
2470,60047205,11000.0,0.0,0.0,0.0
2471,60047212,0.0,0.0,0.0,0.0
2472,60047214,0.0,0.0,0.0,0.0
2473,60047244,0.0,0.0,0.0,0.0
2474,60047317,0.0,0.0,0.0,0.0
2475,60047346,0.0,0.0,0.0,0.0
2476,60047372,0.0,0.0,0.0,0.0
2477,60047392,0.0,0.0,0.0,0.0
2182,60039803,18400.0,0.0,0.0,0.0
2180,60039753,0.0,0.0,0.0,0.0
2615,60049905,0.0,0.0,0.0,0.0
1895,60032779,0.0,0.0,0.0,0.0
1884,60032745,0.0,0.0,0.0,0.0
1885,60032748,0.0,0.0,0.0,0.0
1886,60032749,0.0,0.0,0.0,0.0
1887,60032755,20000.0,0.0,0.0,0.0
1888,60032756,0.0,0.0,0.0,0.0
1889,60032758,0.0,0.0,0.0,0.0
1890,60032759,0.0,0.0,0.0,0.0
1891,60032763,0.0,0.0,0.0,0.0
1892,60032768,0.0,0.0,0.0,0.0
1893,60032771,0.0,0.0,0.0,0.0
1894,60032775,0.0,0.0,0.0,0.0
1896,60032787,0.0,0.0,0.0,0.0
1855,60032377,0.0,0.0,0.0,0.0
1897,60032803,0.0,0.0,0.0,0.0
1898,60032816,0.0,0.0,0.0,0.0
1899,60032818,0.0,0.0,0.0,0.0
1900,60032824,153100.0,0.0,0.0,0.0
1901,60032826,0.0,0.0,0.0,0.0
1902,60032827,0.0,0.0,0.0,0.0
1903,60032847,0.0,0.0,0.0,0.0
1904,60032848,0.0,0.0,0.0,0.0
1905,60032855,0.0,0.0,0.0,0.0
1906,60032856,0.0,0.0,0.0,0.0
1907,60032860,0.0,0.0,0.0,0.0
1883,60032705,0.0,0.0,0.0,0.0
1882,60032675,0.0,0.0,0.0,0.0
1881,60032651,0.0,0.0,0.0,0.0
1880,60032645,80000.0,0.0,0.0,0.0
1857,60032385,0.0,0.0,0.0,0.0
1858,60032391,0.0,0.0,0.0,0.0
1859,60032420,2627600.0,0.0,0.0,0.0
1860,60032446,15100.0,0.0,0.0,0.0
1861,60032454,0.0,0.0,0.0,0.0
1862,60032457,0.0,0.0,0.0,0.0
1863,60032465,15300.0,0.0,0.0,0.0
1864,60032467,0.0,0.0,0.0,0.0
1865,60032469,0.0,0.0,0.0,0.0
1866,60032479,0.0,0.0,0.0,0.0
1867,60032483,0.0,0.0,0.0,0.0
1868,60032484,0.0,0.0,0.0,0.0
1869,60032488,0.0,0.0,0.0,0.0
1870,60032492,0.0,0.0,0.0,0.0
1871,60032520,0.0,0.0,0.0,0.0
1872,60032521,0.0,0.0,0.0,0.0
1873,60032527,0.0,0.0,0.0,0.0
1874,60032530,0.0,0.0,0.0,0.0
1875,60032570,0.0,0.0,0.0,0.0
1876,60032573,30000.0,0.0,0.0,0.0
1877,60032574,0.0,0.0,0.0,0.0
1878,60032592,36036300.0,10171000.0,0.0,0.0
1879,60032631,4548000.0,1767000.0,0.0,0.0
1908,60032871,9200.0,0.0,0.0,0.0
1909,60032876,0.0,0.0,0.0,0.0
1910,60032887,0.0,0.0,0.0,0.0
1937,60033130,0.0,0.0,0.0,0.0
1939,60033157,0.0,0.0,0.0,0.0
1940,60033162,0.0,0.0,0.0,0.0
1941,60033188,0.0,0.0,0.0,0.0
1942,60033207,0.0,0.0,0.0,0.0
1943,60033212,171100.0,0.0,0.0,0.0
1944,60033235,0.0,0.0,0.0,0.0
1945,60033266,0.0,0.0,0.0,0.0
1946,60033270,0.0,0.0,0.0,0.0
1947,60033271,0.0,0.0,0.0,0.0
1948,60033280,0.0,0.0,0.0,0.0
1949,60033283,0.0,0.0,0.0,0.0
1950,60033298,0.0,0.0,0.0,0.0
1951,60033308,0.0,0.0,0.0,0.0
1952,60033322,0.0,0.0,0.0,0.0
1953,60033343,0.0,0.0,0.0,0.0
1954,60033352,0.0,0.0,0.0,0.0
1955,60033356,0.0,0.0,0.0,0.0
1956,60033363,0.0,0.0,0.0,0.0
1957,60033365,0.0,0.0,0.0,0.0
1958,60033378,0.0,0.0,0.0,0.0
1959,60033469,0.0,0.0,0.0,0.0
1960,60033471,0.0,0.0,0.0,0.0
1961,60033477,0.0,0.0,0.0,0.0
1938,60033149,0.0,0.0,0.0,0.0
1936,60033128,0.0,0.0,0.0,0.0
1911,60032889,0.0,0.0,0.0,0.0
1935,60033124,0.0,0.0,0.0,0.0
1912,60032906,0.0,0.0,0.0,0.0
1913,60032913,0.0,0.0,0.0,0.0
1914,60032916,6132000.0,2328000.0,0.0,0.0
1915,60032919,0.0,0.0,0.0,0.0
1916,60032933,0.0,0.0,0.0,0.0
1917,60032942,0.0,0.0,0.0,0.0
1918,60032950,12000.0,0.0,0.0,0.0
1919,60032954,0.0,0.0,0.0,0.0
1920,60032968,0.0,0.0,0.0,0.0
1921,60032970,0.0,0.0,0.0,0.0
1922,60032991,0.0,0.0,0.0,0.0
1923,60032994,0.0,0.0,0.0,0.0
1924,60033011,0.0,0.0,0.0,0.0
1925,60033015,0.0,0.0,0.0,0.0
1926,60033029,0.0,0.0,0.0,0.0
1927,60033043,1240100.0,0.0,0.0,0.0
1928,60033057,0.0,0.0,0.0,0.0
1929,60033059,0.0,0.0,0.0,0.0
1930,60033064,0.0,0.0,0.0,0.0
1931,60033072,0.0,0.0,0.0,0.0
1932,60033079,0.0,0.0,0.0,0.0
1933,60033083,0.0,0.0,0.0,0.0
1934,60033123,279000.0,98000.0,0.0,0.0
1856,60032378,0.0,0.0,0.0,0.0
1854,60032366,0.0,0.0,0.0,0.0
2179,60039747,0.0,0.0,0.0,0.0
1786,60031725,0.0,0.0,0.0,0.0
1775,60031603,0.0,0.0,0.0,0.0
1776,60031631,0.0,0.0,0.0,0.0
1777,60031639,0.0,0.0,0.0,0.0
1778,60031642,25300.0,0.0,0.0,0.0
1779,60031645,0.0,0.0,0.0,0.0
1780,60031662,0.0,0.0,0.0,0.0
1781,60031666,0.0,0.0,0.0,0.0
1782,60031681,0.0,0.0,0.0,0.0
1783,60031691,0.0,0.0,0.0,0.0
1784,60031696,0.0,0.0,0.0,0.0
1785,60031713,0.0,0.0,0.0,0.0
1787,60031753,0.0,0.0,0.0,0.0
1853,60032362,0.0,0.0,0.0,0.0
1788,60031755,0.0,0.0,0.0,0.0
1789,60031762,0.0,0.0,0.0,0.0
1790,60031767,15100.0,0.0,0.0,0.0
1791,60031785,0.0,0.0,0.0,0.0
1792,60031789,0.0,0.0,0.0,0.0
1793,60031794,0.0,0.0,0.0,0.0
1794,60031799,862200.0,0.0,0.0,0.0
1795,60031814,20000.0,0.0,0.0,0.0
1796,60031825,0.0,0.0,0.0,0.0
1797,60031835,34800.0,0.0,0.0,0.0
1798,60031842,0.0,0.0,0.0,0.0
1774,60031591,0.0,0.0,0.0,0.0
1773,60031590,24100.0,0.0,0.0,0.0
1772,60031589,0.0,0.0,0.0,0.0
1771,60031587,0.0,0.0,0.0,0.0
1748,60031386,16400.0,0.0,0.0,0.0
1749,60031388,30100.0,0.0,0.0,0.0
1750,60031390,0.0,0.0,0.0,0.0
1751,60031391,12200.0,0.0,0.0,0.0
1752,60031395,2100.0,0.0,0.0,0.0
1753,60031396,0.0,0.0,0.0,0.0
1754,60031397,0.0,0.0,0.0,0.0
1755,60031416,16006000.0,6260000.0,0.0,0.0
1756,60031419,0.0,0.0,0.0,0.0
1757,60031432,0.0,0.0,0.0,0.0
1758,60031442,0.0,0.0,0.0,0.0
