,Issuing Agent,CUTOFF,CC(-),CC(+)
620,60018485,20230131,0.0,0.0
621,60018496,20230131,0.0,0.0
622,60018524,20230131,0.0,0.0
623,60018530,20230131,0.0,0.0
624,60018546,20230131,0.0,0.0
625,60018551,20230131,0.0,0.0
626,60018577,20230131,0.0,0.0
627,60018582,20230131,0.0,0.0
628,60018614,20230131,0.0,0.0
629,60018637,20230131,0.0,0.0
630,60018667,20230131,0.0,0.0
631,60018668,20230131,-1.0,1.0
632,60018761,20230131,0.0,0.0
633,60018764,20230131,0.0,0.0
634,60018770,20230131,0.0,0.0
635,60018788,20230131,0.0,0.0
636,60018792,20230131,0.0,0.0
637,60018794,20230131,0.0,0.0
638,60018797,20230131,0.0,0.0
639,60018798,20230131,0.0,0.0
640,60018824,20230131,0.0,0.0
641,60018832,20230131,0.0,0.0
642,60018838,20230131,0.0,0.0
643,60018865,20230131,0.0,0.0
644,60018872,20230131,0.0,0.0
645,60018873,20230131,0.0,0.0
646,60018883,20230131,0.0,0.0
647,60018887,20230131,0.0,0.0
648,60018907,20230131,0.0,1.0
649,60018975,20230131,0.0,0.0
650,60018981,20230131,0.0,0.0
651,60018994,20230131,0.0,0.0
652,60019004,20230131,0.0,0.0
653,60019010,20230131,0.0,0.0
654,60019044,20230131,0.0,0.0
655,60019060,20230131,0.0,0.0
656,60019065,20230131,0.0,0.0
657,60019075,20230131,0.0,0.0
658,60019090,20230131,0.0,0.0
659,60019093,20230131,0.0,0.0
660,60019099,20230131,0.0,0.0
661,60019100,20230131,-1.0,0.0
662,60019102,20230131,0.0,0.0
663,60019105,20230131,0.0,0.0
664,60019132,20230131,0.0,0.0
665,60019156,20230131,0.0,0.0
666,60019168,20230131,0.0,0.0
667,60019178,20230131,0.0,0.0
668,60019226,20230131,0.0,0.0
669,60019239,20230131,0.0,0.0
670,60019245,20230131,0.0,0.0
671,60019298,20230131,0.0,0.0
672,60019306,20230131,0.0,0.0
673,60019309,20230131,0.0,0.0
674,60019341,20230131,0.0,0.0
675,60019370,20230131,0.0,0.0
676,60019373,20230131,0.0,0.0
