,Issuing Agent,Base,Rider,%Rider/Base
805,60075197,1,0.0,0
806,60075198,3,6.0,2
807,60075204,1,1.0,1
808,60075206,1,5.0,5
809,60075213,1,3.0,3
810,60075216,1,2.0,2
811,60075221,1,1.0,1
812,60075231,1,4.0,4
813,60075234,1,2.0,2
814,60075236,1,0.0,0
815,60075239,1,0.0,0
816,60075244,1,0.0,0
817,60075247,2,6.0,3
818,60075252,1,4.0,4
819,60075262,3,6.0,2
820,60075263,3,7.0,2
821,60075268,6,6.0,1
822,60075269,2,0.0,0
823,60075275,2,12.0,6
824,60075277,1,5.0,5
825,60075279,4,1.0,0
826,60075283,1,0.0,0
827,60075286,1,16.0,16
828,60075288,1,4.0,4
829,60075293,1,4.0,4
830,60075294,1,4.0,4
831,60075295,2,5.0,2
832,60075305,1,4.0,4
833,60075308,1,3.0,3
834,60075311,1,12.0,12
835,60075317,2,0.0,0
836,60075319,2,6.0,3
837,60075322,1,3.0,3
838,60075326,1,0.0,0
839,60075332,3,6.0,2
840,60075344,1,3.0,3
841,60075345,1,1.0,1
842,60075347,1,3.0,3
843,60075351,2,12.0,6
844,60075353,1,3.0,3
845,60075357,3,9.0,3
846,60075358,1,1.0,1
847,60075374,1,5.0,5
848,60075390,1,3.0,3
849,60075400,2,4.0,2
850,60075406,1,2.0,2
851,60075407,1,2.0,2
852,60075410,3,12.0,4
853,60075419,1,2.0,2
854,60075421,2,6.0,3
855,60075422,2,6.0,3
856,60075423,1,3.0,3
857,60075425,2,10.0,5
858,60075427,4,16.0,4
859,60075434,2,8.0,4
860,60075441,1,4.0,4
861,60075447,1,0.0,0
862,60075451,1,3.0,3
863,60075459,1,5.0,5
864,60075460,2,0.0,0
865,60075463,1,4.0,4
866,60075465,1,2.0,2
867,60075492,2,9.0,4
868,60075494,1,2.0,2
869,60075497,1,3.0,3
870,60075501,1,4.0,4
871,60075502,1,0.0,0
872,60075505,1,0.0,0
873,60075510,3,6.0,2
874,60075513,1,4.0,4
875,60075517,1,4.0,4
876,60075520,1,2.0,2
877,60075521,1,3.0,3
878,60075523,1,1.0,1
879,60075527,1,3.0,3
880,60075535,1,1.0,1
881,60075543,1,4.0,4
882,60075545,7,54.0,8
883,60075549,6,14.0,2
884,60075558,1,0.0,0
885,60075568,1,4.0,4
886,60075573,1,4.0,4
887,60075579,2,17.0,8
888,60075582,1,2.0,2
889,60075583,1,2.0,2
890,60075587,2,3.0,2
891,60075593,1,5.0,5
892,60075597,1,12.0,12
893,60075602,2,8.0,4
894,60075604,2,5.0,2
895,60075620,1,4.0,4
896,60075621,2,10.0,5
897,60075625,1,3.0,3
898,60075629,3,6.0,2
899,60075631,1,4.0,4
900,60075632,1,4.0,4
901,60075634,2,2.0,1
902,60075636,1,3.0,3
903,60075642,5,24.0,5
904,60075653,1,3.0,3
905,60075657,1,2.0,2
906,60075658,3,14.0,5
907,60075659,2,8.0,4
908,60075667,5,5.0,1
909,60075669,2,6.0,3
910,60075684,1,3.0,3
911,60075686,1,3.0,3
912,60075687,3,7.0,2
913,60075688,2,4.0,2
914,60075689,2,2.0,1
915,60075692,3,14.0,5
916,60075699,1,4.0,4
917,60075704,1,4.0,4
918,60075706,4,16.0,4
919,60075715,1,4.0,4
920,60075725,1,2.0,2
921,60075730,4,19.0,5
922,60075734,2,6.0,3
923,60075741,1,4.0,4
924,60075743,1,3.0,3
925,60075744,1,3.0,3
926,60075745,4,12.0,3
927,60075747,2,2.0,1
928,60075753,1,9.0,9
929,60075764,1,1.0,1
930,60075766,2,2.0,1
931,60075778,3,3.0,1
932,60075780,1,2.0,2
933,60075782,1,2.0,2
934,60075783,1,2.0,2
935,60075787,1,2.0,2
936,60075788,1,2.0,2
937,60075791,1,2.0,2
938,60075792,1,1.0,1
939,60075793,1,3.0,3
940,60075797,1,1.0,1
941,60075798,1,2.0,2
942,60075799,2,8.0,4
943,60075800,1,4.0,4
944,60075802,2,5.0,2
945,60075804,1,3.0,3
946,60075805,2,4.0,2
947,60075806,2,5.0,2
948,60075807,2,5.0,2
949,60075808,1,2.0,2
950,60075809,1,2.0,2
951,60075810,2,5.0,2
952,60075811,1,4.0,4
953,60075815,1,3.0,3
954,60075816,2,4.0,2
955,60075817,2,4.0,2
956,60075818,2,4.0,2
957,60075821,1,2.0,2
958,60075825,1,2.0,2
959,60075827,1,2.0,2
960,60075830,1,6.0,6
961,60075834,2,5.0,2
962,60075835,2,6.0,3
963,60075836,1,3.0,3
964,60075838,2,5.0,2
965,60075839,1,0.0,0
966,60075844,1,5.0,5
967,60075852,1,0.0,0
968,60075853,1,6.0,6
969,60075854,2,4.0,2
970,60075855,1,5.0,5
971,60075857,1,13.0,13
972,60075863,4,8.0,2
973,60075864,4,12.0,3
974,60075870,1,0.0,0
975,60075872,1,0.0,0
976,60075874,1,3.0,3
977,60075876,2,5.0,2
978,60075877,2,4.0,2
979,60075878,1,2.0,2
980,60075879,1,2.0,2
981,60075880,1,1.0,1
982,60075881,1,0.0,0
983,60075882,1,0.0,0
984,60075884,2,0.0,0
985,60075885,5,7.0,1
986,60075886,1,13.0,13
987,60075887,1,0.0,0
988,60075888,1,15.0,15
989,60075898,1,3.0,3
990,60075908,2,7.0,4
991,60075909,2,7.0,4
992,60075910,1,0.0,0
993,60075911,2,6.0,3
