,Issuing Agent,PolicyNum,Product Code,Count_Policy,Base/Rider
2601,60075793,80132961,URA5,1,Rider
2602,60075793,80132961,UL05,1,Base
2603,60075793,80132961,URC5,1,Rider
2604,60075793,80132961,URC6,1,Rider
2605,60074266,80132689,RHS1,1,Rider
2606,60074266,80132689,URA5,1,Rider
2607,60074266,80132689,RHB1,1,Rider
2608,60074266,80132689,URC6,1,Rider
2609,60074266,80132689,URC5,1,Rider
2610,60074266,80132689,UL05,1,Base
2611,60073064,80132969,UL06,1,Base
2612,60073064,80132969,URA5,1,Rider
2613,60075629,80131495,URC5,1,Rider
2614,60075629,80131495,UL05,1,Base
2615,60075629,80131495,URA5,1,Rider
2616,60075549,80131627,UL06,1,Base
2617,60075549,80131627,URA5,1,Rider
2618,60075549,80131627,URC5,1,Rider
2619,60075357,80131522,UL05,1,Base
2620,60075357,80131522,URC5,1,Rider
2621,60075357,80131522,URA5,1,Rider
2622,60075357,80131522,RHB1,1,Rider
2623,60068474,80131642,UL05,1,Base
2624,60068474,80131642,URA5,1,Rider
2625,60068474,80131642,URC5,1,Rider
2626,60044555,80131463,UL05,1,Base
2627,60071321,80131435,RHS1,1,Rider
2628,60071321,80131435,URC6,1,Rider
2629,60071321,80131435,URA5,1,Rider
2630,60071321,80131435,URC5,1,Rider
2631,60071321,80131435,RHB1,1,Rider
2632,60071321,80131435,UL05,1,Base
2633,60074407,80131493,URA5,1,Rider
2634,60074407,80131493,URC5,1,Rider
